Salary,DOJ,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
250000,2013-08-01,associate software developer,Gurgaon,m,1987-09-28,60.8,cbse,2006,66.66,cbse,2,MCA,computer application,74.74,1,Delhi,2013,465,585,515,0.911395278391328,545,-1,500,-1,-1,-1,-1,0.8463,1.0449,-1.0659,-1.6289,0.6721
120000,2014-01-01,data entry operator,Gurgaon,m,1992-12-07,65.0,state,2008,64.8,icse,2,B.Tech/B.E.,computer science & engineering,69.54,0,Uttar Pradesh,2013,465,495,515,0.563267823666597,425,-1,-1,-1,-1,-1,-1,-0.159,0.3789,1.3933,-0.2344,1.4386
325000,2014-09-01,software engineer,Pune,f,1990-11-30,79.0,cbse,2008,62.2,cbse,2,B.Tech/B.E.,computer engineering,76.3,0,Uttar Pradesh,2012,485,445,435,0.864685413370085,525,-1,-1,-1,-1,-1,-1,0.8192,0.2668,-0.2714,-0.4078,-0.1295
320000,2010-11-01,software engineer,Bangalore,f,1988-07-25,91.2,state,2006,84.63,state,2,B.Tech/B.E.,computer engineering,78.15,0,Karnataka,2010,455,535,445,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-0.1082,0.9688,0.5269,-0.2902,0.3444
200000,2012-08-01,software engineer,-1,f,1991-08-20,75.67,state,2007,74.4,state,2,B.Tech/B.E.,information technology,74.01,0,Uttar Pradesh,2012,385,555,445,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539
190000,2013-10-01,developer,Hyderabad,m,1992-01-23,92.5,state,2009,95.2,state,2,B.Tech/B.E.,electronics and communication engineering,76.0,0,Telangana,2013,395,455,485,-1.0,455,-1,-1,-1,-1,-1,-1,-0.4463,-0.6201,-0.6048,0.7798,-2.7769
180000,2014-08-01,electrical project engineer,Bangalore,m,1986-07-30,70.0,state,2006,43.42,state,2,B.Tech/B.E.,electronics and communication engineering,55.52,1,Karnataka,2014,370,360,270,0.649389714846691,-1,356,-1,-1,-1,-1,-1,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763
335000,2014-06-01,programmer analyst,Hyderabad,m,1993-06-28,88.0,state,2010,90.0,state,2,B.Tech/B.E.,computer science & engineering,76.0,1,Telangana,2014,625,555,630,0.356536487724475,475,-1,346,-1,-1,-1,-1,0.4155,0.8027,0.1357,-0.995,-0.6692
435000,2012-09-01,systems analyst,Gurgaon,f,1991-03-02,86.8,cbse,2008,82.8,cbse,2,B.Tech/B.E.,computer science & engineering,78.0,0,Haryana,2012,575,585,575,0.744758354008939,565,-1,438,-1,-1,-1,-1,0.0464,1.2028,-0.9245,0.5323,-0.2875
345000,2011-01-01,senior software engineer,Bangalore,m,1988-02-05,90.88,state,2006,82.5,state,2,B.Tech/B.E.,computer engineering,66.15,0,Orissa,2010,415,335,405,0.884122511593735,535,333,-1,313,-1,-1,320,0.8192,0.1888,-1.7954,1.8249,1.1343
300000,2014-09-01,ase,Bangalore,m,1993-02-01,76.8,state,2009,83.0,state,2,B.Tech/B.E.,electronics and communication engineering,76.44,0,Uttar Pradesh,2014,535,510,605,0.881620069530177,-1,420,-1,-1,-1,-1,-1,0.99,1.3779,0.7785,-0.2344,-0.6692
145000,2015-02-01,telecommunication engineer,Noida,m,1994-01-20,84.0,cbse,2011,68.0,cbse,2,B.Tech/B.E.,electronics and communication engineering,72.0,0,Uttar Pradesh,2015,580,570,385,0.207392169717661,335,260,-1,-1,-1,313,-1,0.1282,0.7119,1.3933,-0.3612,-0.0943
220000,2014-11-01,java software engineer,Gurgaon,m,1992-06-11,64.0,cbse,2010,74.0,cbse,2,B.Tech/B.E.,information technology,68.0,0,Haryana,2014,485,375,435,0.486747008438193,345,-1,376,-1,-1,-1,-1,-3.1994,-1.8393,0.0552,0.0623,-0.7615
530000,2011-12-01,systems engineer,Hyderabad,m,1989-10-04,84.0,state,2007,92.0,state,2,B.Tech/B.E.,computer engineering,77.2,0,Andhra Pradesh,2011,475,405,695,0.670743151433127,455,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.0537,-1.2303,-0.9194
340000,2014-08-01,software engineer,Bangalore,m,1992-10-23,77.2,state,2010,86.1,state,2,B.Tech/B.E.,computer science & engineering,71.0,0,Tamil Nadu,2014,560,485,450,0.622642915849938,485,-1,407,-1,-1,-1,-1,-0.0154,1.2114,1.0859,-1.5021,0.2889
360000,2013-10-01,application developer,Noida,f,1991-09-14,87.0,cbse,2009,84.4,cbse,1,B.Tech/B.E.,computer engineering,79.3,1,Delhi,2013,570,475,295,0.413838255788123,385,-1,-1,-1,-1,-1,-1,-0.7335,-0.4536,-1.0659,1.1601,-0.4776
145000,2014-10-01,ios developer,Kolkata,m,1992-01-07,73.0,state,2010,68.4,state,2,B.Tech/B.E.,information technology,74.3,1,West Bengal,2014,560,530,605,0.911395278391328,445,-1,500,-1,-1,-1,-1,-0.7335,0.5454,-0.7585,-0.6147,1.4386
215000,2015-01-01,executive assistant,Bangalore,f,1989-08-30,71.0,cbse,2009,68.0,icse,2,B.Tech/B.E.,computer science & engineering,70.86,0,Uttar Pradesh,2013,430,510,405,0.356536487724475,465,-1,346,-1,-1,-1,-1,1.5644,1.0449,0.3174,-1.8824,1.0554
350000,2014-03-01,online marketing manager,mohali,f,1990-09-15,85.0,cbse,2008,61.0,cbse,2,B.Tech/B.E.,electronics and communication engineering,64.98,0,Punjab,2011,570,475,430,-1.0,-1,-1,-1,-1,-1,-1,-1,-0.4854,-0.5213,2.1129,-0.735,1.8224
270000,2013-03-01,software engineer,Hyderabad,f,1992-08-21,91.5,state,2009,93.8,state,1,B.Tech/B.E.,computer engineering,74.1,1,Telangana,2013,380,535,530,0.525922584252055,415,-1,-1,-1,-1,-1,-1,-1.0208,0.2124,0.4711,0.2727,-0.0943
80000,2010-10-01,documentation specialist,Gurgaon,m,1993-02-13,77.0,cbse,2010,85.4,cbse,2,B.Tech/B.E.,electronics and communication engineering,63.9,0,Punjab,2014,475,605,415,0.649389714846691,435,356,-1,-1,-1,-1,-1,0.2718,0.5454,0.3174,-1.8824,-0.4776
330000,2014-01-01,associate software engineer,Bangalore,m,1991-10-02,52.33,state,2007,67.0,state,2,MCA,computer application,77.15,0,Uttar Pradesh,2013,450,525,545,0.735795709224656,475,-1,-1,-1,-1,-1,-1,-0.0154,1.2114,0.6248,0.7798,0.8637
200000,2013-01-01,management trainee,-1,m,1991-02-28,88.0,state,2008,89.66,state,2,B.Tech/B.E.,electronics and communication engineering,76.4,0,Kerala,2012,510,640,635,0.124502074009537,-1,233,-1,-1,-1,-1,-1,0.3941,1.2808,0.2366,-2.1998,-0.4455
120000,2011-06-01,site manager,Jhansi,m,1989-05-04,66.6,cbse,2007,68.6,state,2,B.Tech/B.E.,mechanical engineering,60.22,0,Uttar Pradesh,2011,425,595,475,0.130441735719574,-1,-1,-1,286,-1,-1,-1,-0.4173,0.3448,0.0914,-0.4078,0.6603
145000,2014-07-01,software developer,Delhi,m,1992-04-21,75.0,cbse,2009,60.0,cbse,2,B.Tech/B.E.,computer science & engineering,66.0,0,Uttar Pradesh,2014,380,545,460,0.356536487724475,395,-1,346,-1,-1,-1,-1,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356
350000,2014-08-01,associate software engineer,Bangalore,m,1991-12-11,91.4,icse,2010,73.0,cbse,1,B.Tech/B.E.,information technology,71.0,0,Uttar Pradesh,2014,555,560,825,0.23780283983757,525,-1,315,-1,-1,-1,-1,-0.0154,0.2578,-0.5349,-1.1218,-1.359
120000,2014-04-01,.net developer,Hyderabad ,m,1993-07-05,59.0,state,2010,87.7,state,2,B.Tech/B.E.,electronics and communication engineering,71.04,1,Telangana,2014,300,340,355,0.112139438207403,155,228,-1,-1,-1,-1,-1,-0.0154,-2.4516,-0.4511,0.2727,-3.1602
380000,2012-05-01,programmer analyst,Bangalore ,f,1989-01-06,84.5,n/a,2007,82.5,n/a,2,B.Tech/B.E.,computer engineering,92.1,0,Karnataka,2011,425,525,515,0.377551419424541,375,-1,-1,-1,-1,-1,-1,0.51,0.6568,-0.6343,0.2973,0.1864
110000,2014-09-01,production engineer,Chennai,m,1992-10-12,95.8,state,2010,87.16,state,2,B.Tech/B.E.,mechanical engineering,79.0,0,Tamil Nadu,2014,430,395,500,0.0669607065028304,-1,-1,-1,253,-1,-1,-1,-0.5899,-1.1196,0.4711,-0.7415,-1.4356
205000,2013-07-01,jr. software engineer,noida,f,1991-09-24,85.6,cbse,2008,82.0,cbse,2,B.Tech/B.E.,computer science & engineering,74.01,0,Haryana,2012,370,495,455,0.0800552813405495,445,-1,253,-1,-1,-1,-1,0.1282,0.5454,0.1637,-0.4879,0.8637
95000,2012-10-01,software developer,delhi,m,1992-02-01,69.6,state,2008,71.4,state,2,B.Tech/B.E.,computer engineering,77.0,0,Orissa,2012,485,415,575,0.925645767094482,-1,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.7794,1.7074,0.1864
390000,2013-09-01,software engineer,Bangalore,m,1991-02-28,86.6,cbse,2009,75.0,cbse,2,B.Tech/B.E.,computer science & engineering,74.0,0,Madhya Pradesh,2013,505,545,565,0.356536487724475,475,-1,346,-1,-1,-1,-1,-2.5039,0.0328,0.3817,0.26793,0.5024
270000,2012-05-01,qa analyst,Bangalore,m,1989-03-27,81.92,state,2007,61.46,state,2,B.Tech/B.E.,information technology,57.54,1,Karnataka,2011,565,465,415,0.843123726665742,515,-1,-1,-1,-1,-1,-1,1.2828,1.7488,1.8331,-2.2879,1.1343
60000,2011-06-01,trainee software developer,Bhubaneswar,f,1988-02-13,66.5,cbse,2005,49.5,state,2,MCA,computer application,89.7,0,Orissa,2011,505,505,485,0.916869961103619,555,-1,-1,-1,-1,-1,-1,-1.0355,0.0328,-2.2308,1.0024,0.3444
120000,2015-02-01,ui developer,Hyderabad,m,1991-11-03,80.0,state,2009,72.5,state,2,B.Tech/B.E.,electronics and computer engineering,57.8,0,Andhra Pradesh,2013,580,485,455,0.783303536670298,405,388,-1,-1,-1,-1,-1,-0.4463,-0.1206,-1.0659,-0.1076,-1.244
400000,2015-04-01,software engineer,Navi Mumbai,m,1992-03-09,85.2,icse,2010,81.5,icse,2,B.Tech/B.E.,computer science & engineering,57.64,0,Uttar Pradesh,2014,545,385,485,0.600057182338341,435,-1,-1,-1,-1,-1,-1,1.1336,0.3789,1.0859,0.653,0.2889
350000,2014-09-01,assistant system engineer,Mumbai,m,1991-08-06,89.25,state,2010,78.0,state,2,B.Tech/B.E.,electrical engineering,80.0,1,West Bengal,2014,570,510,545,0.79293627759454,-1,-1,-1,-1,484,-1,-1,-0.159,-0.1206,-0.6048,-1.6289,-1.4356
120000,2014-11-01,android developer,New Delhi,f,1992-01-14,58.4,cbse,2008,64.8,cbse,2,MCA,computer application,80.0,0,Haryana,2014,440,415,554,0.793580614548506,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543
250000,2014-08-01,software engineer,Mangalore,m,1992-02-13,90.8,state,2010,90.1,state,2,B.Tech/B.E.,computer science & engineering,67.7,0,Karnataka,2014,525,530,595,0.486747008438193,485,-1,376,-1,-1,-1,-1,-0.3027,0.7119,-0.2974,1.1601,-0.4776
240000,2013-03-01,customer service,Rewari,f,1989-07-15,78.0,cbse,2006,70.1,cbse,2,B.Tech/B.E.,electronics and communication engineering,68.2,0,Haryana,2011,415,595,495,0.694479327708463,-1,366,-1,-1,-1,-1,-1,0.8192,-0.0842,-0.598,-0.6428,-0.6035
525000,2012-03-01,test engineer,Hyderabad,f,1989-08-15,89.88,n/a,2007,95.4,n/a,2,B.Tech/B.E.,electronics and communication engineering,80.8,1,Telangana,2011,555,475,635,0.694479327708463,-1,366,-1,-1,-1,420,-1,0.3555,-0.2793,-0.6343,-0.2902,-0.2875
200000,2013-06-01,project engineer,Gaziabaad,m,1990-03-27,63.3,state,2008,61.1,state,2,B.Tech/B.E.,electronics and communication engineering,66.9,0,Uttar Pradesh,2013,420,510,665,0.112139438207403,-1,228,-1,-1,-1,-1,-1,-1.0208,-0.6201,-0.2974,-0.1076,-1.244
120000,2009-09-01,software engineer,Bangalore,m,1977-10-30,72.0,cbse,1995,49.0,state,2,B.Tech/B.E.,computer engineering,55.0,0,Karnataka,2011,640,460,250,0.525922584252055,415,300,-1,366,-1,-1,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455
305000,2013-11-01,software engineer,Chennai,f,1991-12-27,83.0,state,2009,79.0,state,2,B.Tech/B.E.,information technology,70.0,1,Telangana,2013,430,410,310,0.165633091512476,305,-1,-1,-1,-1,-1,-1,-0.159,-0.1206,0.1637,1.5404,-0.0943
300000,2014-10-01,java developer,Chennai,m,1993-06-30,85.3,state,2010,88.3,state,2,B.Tech/B.E.,computer science & engineering,85.0,1,Tamil Nadu,2014,370,375,325,0.356536487724475,315,-1,346,-1,-1,-1,-1,1.8517,1.5444,0.3174,0.3995,0.6721
145000,2014-06-01,engineer,Noida,f,1991-03-02,81.0,cbse,2009,77.8,cbse,2,B.Tech/B.E.,electronics and communication engineering,65.35,0,Uttar Pradesh,2014,535,510,390,0.207392169717661,-1,260,-1,-1,-1,260,-1,-1.1644,-0.9531,0.01,-0.7415,-0.8608
150000,2014-10-01,management trainee,Bhiwadi,m,1992-01-10,60.66,state,2008,62.4,state,2,B.Tech/B.E.,mechanical engineering,69.3,0,Uttar Pradesh,2013,370,410,470,0.755375120895548,315,-1,-1,446,-1,-1,-1,-2.2351,-2.6847,-2.6028,0.3995,-5.477
600000,2010-07-01,java software engineer,Gurgaon,m,1986-05-29,78.0,cbse,2004,83.0,cbse,1,B.Tech/B.E.,information technology,72.13,1,Delhi,2010,444,555,695,0.999904558268382,804,-1,-1,-1,-1,-1,-1,0.6646,0.3448,0.8171,0.6498,0.0284
310000,2014-02-01,system engineer,Mysore,m,1990-12-02,89.37,state,2009,79.0,state,2,B.Tech/B.E.,applied electronics and instrumentation,70.0,0,West Bengal,2013,630,580,510,0.338786347219528,-1,292,-1,-1,-1,-1,-1,0.99,1.2114,-0.2974,-1.1218,1.247
455000,2011-01-01,system engineer,Bangalore,m,1989-08-29,90.0,state,2006,94.4,state,2,B.Tech/B.E.,electronics and communication engineering,76.12,0,Andhra Pradesh,2010,505,525,595,0.124502074009537,615,233,-1,-1,-1,-1,-1,-0.2628,-0.1232,0.0914,-1.2303,-0.1295
400000,2014-08-01,test engineer,Bangalore,f,1991-08-05,81.0,icse,2010,79.0,icse,2,B.Tech/B.E.,electronics and communication engineering,71.5,0,Uttar Pradesh,2014,510,500,575,0.493596387301038,455,324,-1,-1,-1,-1,-1,-1.8825,-3.7836,-2.4491,0.9066,-1.8189
150000,2010-07-01,recruitment coordinator,Chennai,f,1989-03-18,78.0,state,2006,86.67,state,2,B.Tech/B.E.,instrumentation and control engineering,77.55,1,Tamil Nadu,2010,535,465,535,0.910770164246022,445,433,-1,-1,-1,-1,-1,-0.880999999999999,1.4368,0.3817,-0.4078,-0.1295
250000,2015-06-01,software developer,Mangalore,m,1993-01-15,84.4,cbse,2011,73.2,cbse,2,B.Tech/B.E.,computer science & engineering,70.0,0,Punjab,2015,570,410,535,0.670743151433127,455,-1,-1,-1,-1,-1,-1,-0.0154,0.8784,0.01,-0.7415,-0.2859
320000,2014-03-01,system engineer,Chennai,m,1992-12-12,89.0,state,2009,92.0,state,2,B.Tech/B.E.,electrical engineering,76.4,1,Telangana,2013,625,645,605,0.982057124317279,385,388,-1,-1,606,-1,-1,-1.4517,-1.4526,-1.2196,1.794,-2.3937
250000,2014-05-01,java software engineer,Rajkot,m,1990-12-03,86.0,state,2008,64.0,state,2,B.Tech/B.E.,information technology,61.17,0,Gujarat,2013,665,545,415,0.911395278391328,405,-1,500,-1,-1,-1,-1,1.1336,1.3779,2.1617,-0.995,1.0554
200000,2014-06-01,technical support engineer,Bangalore,m,1992-12-21,85.0,icse,2010,75.0,cbse,2,B.Tech/B.E.,computer science & engineering,60.0,1,Karnataka,2014,675,480,500,0.842248322257836,425,-1,469,-1,-1,-1,-1,1.1336,1.0449,0.1637,-1.2486,0.0973
240000,2014-06-01,android developer,Greater Noida,m,1992-07-06,75.0,cbse,2009,64.0,cbse,2,B.Tech/B.E.,computer science & engineering,67.0,0,Uttar Pradesh,2014,510,480,485,-1.0,-1,-1,-1,-1,-1,-1,-1,-0.159,0.8784,1.2396,0.2727,-0.6692
120000,2015-04-01,data analyst,Indore,f,1991-08-10,86.0,state,2009,77.0,state,2,B.Tech/B.E.,computer science & engineering,75.0,0,Madhya Pradesh,2013,325,510,295,0.0185409416754305,415,-1,192,-1,-1,-1,-1,0.1282,0.0459,0.1637,0.0192,-0.0943
300000,2014-09-01,programmer analyst,Bangalore,m,1992-09-03,70.6,cbse,2010,78.67,state,2,B.Tech/B.E.,electronics and communication engineering,75.84,1,Karnataka,2014,580,485,510,0.0531603052826837,285,196,-1,-1,-1,-1,-1,0.5591,0.2124,-1.2196,-0.7415,-0.8608
800000,2012-06-01,software engineer,Bangalore,m,1991-01-25,93.44,state,2008,90.0,state,2,B.Tech/B.E.,computer engineering,87.6,0,Karnataka,2012,515,475,635,0.942116551485008,575,-1,-1,-1,-1,-1,-1,-0.4173,0.9688,-0.1988,-0.2902,0.3049
120000,2014-07-01,test engineer,-1,m,1992-02-18,76.0,state,2009,72.0,state,2,B.Tech/B.E.,computer science & engineering,63.2,0,Tamil Nadu,2013,510,355,340,0.123016731640823,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776
325000,2014-12-01,system engineer,Mysore,f,1993-05-05,86.4,cbse,2010,78.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,73.5,1,Karnataka,2014,535,435,440,0.207392169717661,355,260,530,-1,-1,-1,-1,0.8463,1.3779,1.3933,0.653,-0.2859
100000,2013-08-01,software developer,-1,f,1992-05-17,86.0,state,2009,95.0,state,2,B.Tech/B.E.,electronics and communication engineering,78.6,0,Telangana,2013,405,545,450,0.649389714846691,375,356,-1,-1,-1,-1,-1,0.5591,-0.4536,0.01,-0.4879,0.6721
300000,2014-08-01,assistant software engineer,Bangalore,m,1992-09-26,84.83,cbse,2010,82.4,cbse,2,B.Tech/B.E.,computer science & engineering,74.14,0,Uttar Pradesh,2014,665,595,705,0.744758354008939,505,-1,438,-1,-1,-1,-1,-0.4463,0.2124,0.3174,-1.5021,-0.2859
280000,2014-10-01,faculty,New Delhi,m,1990-07-05,72.3,icse,2008,60.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,69.38,1,Rajasthan,2013,555,475,415,0.694479327708463,-1,366,-1,-1,-1,393,-1,1.4208,0.5454,-0.2974,1.0333,-0.6692
215000,2014-10-01,entry level management trainee,New Delhi,f,1987-03-15,69.0,cbse,2005,62.6,cbse,2,B.Tech/B.E.,electrical engineering,76.25,0,Madhya Pradesh,2010,395,455,475,0.694479327708463,195,366,-1,-1,-1,-1,-1,-0.4173,0.1888,-0.4891,0.4148,0.8183
145000,2014-06-01,customer service representative,Jaipur,m,1993-11-23,80.0,state,2010,70.0,state,2,B.Tech/B.E.,electronics and communication engineering,55.0,1,Rajasthan,2014,430,450,385,-1.0,-1,-1,-1,-1,-1,-1,-1,0.1282,-0.1206,0.9322,1.5404,0.0973
445000,2011-11-01,software test engineer,Pune,f,1987-05-10,73.33,n/a,2004,71.33,n/a,2,MCA,computer application,61.0,1,Maharashtra,2010,375,535,534,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-2.272,-0.2793,-1.2148,0.8848,-0.7615
315000,2015-07-01,firmware engineer,noida ,m,1993-08-18,86.16,cbse,2011,70.08,cbse,2,B.Tech/B.E.,electronics and communication engineering,63.13,0,Uttar Pradesh,2015,455,595,500,0.207392169717661,225,260,-1,-1,-1,-1,-1,0.99,1.0449,1.7007,-2.0092,0.2889
100000,2013-10-01,php developer,Kolkata,f,1987-11-13,75.0,state,2010,78.0,state,2,B.Tech/B.E.,computer engineering,71.1,1,West Bengal,2013,415,440,355,0.488347976782714,405,-1,-1,-1,-1,-1,-1,0.8463,1.3779,1.0859,-0.995,1.247
200000,2015-01-01,software developer,Noida,m,1992-05-01,56.0,cbse,2009,56.0,state,2,MCA,computer application,62.0,0,Uttar Pradesh,2015,605,470,355,0.843123726665742,515,-1,-1,-1,-1,-1,-1,0.7027,0.8784,0.3174,-1.1218,0.4805
220000,2014-10-01,research associate,Hyderabad,f,1992-02-21,87.0,cbse,2008,60.0,cbse,2,B.Tech/B.E.,computer science & engineering,70.82,0,Uttar Pradesh,2013,640,605,400,0.842248322257836,425,-1,469,-1,-1,-1,-1,0.8463,1.2114,1.2396,-0.1076,1.247
370000,2013-03-01,project engineer,Kolkata,m,1991-01-01,79.25,state,2008,80.0,state,2,B.Tech/B.E.,information technology,79.9,0,West Bengal,2012,545,580,430,0.635978756456794,445,-1,-1,-1,-1,-1,-1,0.8192,1.0858,-0.4891,-0.7603,-0.1295
145000,2013-05-01,research analyst,Pune,m,1991-05-31,88.66,state,2008,84.33,state,2,B.Tech/B.E.,electronics & telecommunications,60.0,1,Maharashtra,2012,495,565,575,0.376059586651545,335,300,-1,-1,-1,260,-1,1.2828,1.7878,1.1437,-0.6428,0.5024
275000,2014-04-01,quality engineer,Bangalore,m,1991-06-03,80.8,state,2009,75.0,state,2,B.Tech/B.E.,electronics and communication engineering,77.38,1,Karnataka,2013,405,470,370,-1.0,475,-1,500,-1,-1,-1,-1,1.4208,-0.7866,-0.1437,-1.5021,-0.4776
1500000,2014-11-01,application developer,Hyderabad,m,1992-01-04,79.0,state,2009,87.9,state,2,B.Tech/B.E.,computer science & engineering,66.0,1,Telangana,2013,315,435,355,0.356536487724475,335,-1,346,-1,-1,-1,-1,0.4155,0.5454,0.9322,-0.6147,0.8637
325000,2014-10-01,software engineer,Gurgaon,m,1992-03-31,70.0,icse,2010,65.0,cbse,2,B.Tech/B.E.,information technology,66.0,0,Chhattisgarh,2014,405,470,545,-1.0,-1,-1,-1,-1,-1,-1,-1,0.4155,0.3789,-0.9122,-1.1218,-0.8608
